Date;Export;Import
01/01/1993;2137.6;2010.9
01/02/1993;2125;1861.5
01/03/1993;2116.3;2079.1
01/04/1993;2213.5;2092
01/05/1993;2229.7;1999.7
01/06/1993;2155.3;2396.2
01/07/1993;2178.4;2322.2
01/08/1993;2299.7;1969
01/09/1993;2308.8;2473.1
01/10/1993;2411.3;2219.6
01/11/1993;2464.2;2143.9
01/12/1993;2437.3;2590.1
01/01/1994;1903.2;1945.3
01/02/1994;2093;2129
01/03/1994;2280.5;2377.8
01/04/1994;2410.8;2182.5
01/05/1994;2453.3;2487.3
01/06/1994;2725.2;2632.7
01/07/1994;2692.1;2416.7
01/08/1994;2735.7;2562
01/09/1994;2726.6;2605.2
01/10/1994;2817.3;2672.6
01/11/1994;2762.3;2569.4
01/12/1994;2759.7;3040.9
01/01/1995;2367.3;2540.8
01/02/1995;2614.4;2708.5
01/03/1995;2600.9;2925.7
01/04/1995;2533.3;2866.6
01/05/1995;2886;3076.4
01/06/1995;2975.7;3671.7
01/07/1995;2949.8;3274.2
01/08/1995;3090.4;3584.7
01/09/1995;3125.2;3603.8
01/10/1995;3108.7;3177.3
01/11/1995;3206.8;3100.9
01/12/1995;3495.2;3212.7
01/01/1996;2667.9;2982.1
01/02/1996;2817.1;2466.6
01/03/1996;2977.3;3254.5
01/04/1996;3090.4;3429.7
01/05/1996;3204.5;3665
01/06/1996;3298.3;3728.2
01/07/1996;3157.9;3310.4
01/08/1996;3349.3;3236.7
01/09/1996;3383.2;3398.6
01/10/1996;3336.9;3191.4
01/11/1996;3357.1;3183.9
01/12/1996;3452.8;3491.8
01/01/1997;3020.2;3285.4
01/02/1997;3017.8;2833.2
01/03/1997;3113.2;3341.1
01/04/1997;3207.3;3371
01/05/1997;3625.8;3324.9
01/06/1997;3527.9;3219.5
01/07/1997;3698.2;3265.5
01/08/1997;3823.2;3067.9
01/09/1997;3790.5;3129.7
01/10/1997;3564.4;3121
01/11/1997;3731.3;3008.6
01/12/1997;3701.2;2787.9
01/01/1998;3344.5;2152.9
01/02/1998;3058;1897.6
01/03/1998;3839.6;2166.6
01/04/1998;3138.1;1801.4
01/05/1998;3271.9;1817.7
01/06/1998;3861.9;2017.3
01/07/1998;3936.3;2239.3
01/08/1998;3482.2;1974.4
01/09/1998;3385.6;2008.9
01/10/1998;3168;2223.2
01/11/1998;3250.6;2221
01/12/1998;3238.8;2162.9
01/01/1999;2373.5;1535.8
01/02/1999;2615.9;1522.3
01/03/1999;3307.1;1800.9
01/04/1999;3238.1;1899.9
01/05/1999;3358.2;1763.2
01/06/1999;3038.2;1675
01/07/1999;3367.8;1641.5
01/08/1999;3609.7;1655.2
01/09/1999;3577.9;1649.2
01/10/1999;3579.1;1668.3
01/11/1999;3468.5;1738.1
01/12/1999;3339.2;1772.8
01/01/2000;3249.4;1742.2
01/02/2000;3693.4;1757.5
01/03/2000;3847.5;1787.5
01/04/2000;4024.4;1875.2
01/05/2000;3853.4;1938.2
01/06/2000;4160.4;1999.5
01/07/2000;4233.5;2187.5
01/08/2000;4265.2;2563.5
01/09/2000;4433.4;2761.6
01/10/2000;4164.2;2883.5
01/11/2000;3919;2964.5
01/12/2000;3913.6;3034.6
01/01/2001;3675.3;2706.8
01/02/2001;3632.4;2714.3
01/03/2001;3877.2;2607.5
01/04/2001;3711.4;2476.1
01/05/2001;3700.5;2305.1
01/06/2001;3758.4;2185.1
01/07/2001;3782.2;1923.2
01/08/2001;4113.3;1825
01/09/2001;3382.5;1655.3
01/10/2001;3624.4;1635.3
01/11/2001;3075.9;1752.4
01/12/2001;3351;1704.2
01/01/2002;3222.3;1680.3
01/02/2002;3384.7;1727.1
01/03/2002;3566.9;1805.6
01/04/2002;3780.5;1908.3
01/05/2002;3735.2;1953.4
01/06/2002;4127.6;2015.2
01/07/2002;4041.9;2103.4
01/08/2002;3911.1;2221.7
01/09/2002;4069.5;2288.5
01/10/2002;4182.9;2363.6
01/11/2002;3340;2355.5
01/12/2002;3683.4;2340.5
01/01/2003;3799.9;2036.8
01/02/2003;3721.3;2186.1
01/03/2003;3865.6;2205.3
01/04/2003;3931.2;2120.9
01/05/2003;3956.2;1934.7
01/06/2003;4202;1918.9
01/07/2003;4272;1944
01/08/2003;3769.2;1968.2
01/09/2003;3896.3;2056.3
01/10/2003;4028.9;2170.7
01/11/2003;3898.9;2089.5
01/12/2003;4065.4;2308.4
01/01/2004;3842.6;2624
01/02/2004;3766.5;2612.6
01/03/2004;3888.3;2519.7
01/04/2004;4093.6;2683.1
01/05/2004;4231.9;2574.5
01/06/2004;4578.8;2910.6
01/07/2004;4713.5;3175.1
01/08/2004;5065.6;3056.2
01/09/2004;5766.3;3100.5
01/10/2004;5978.3;3058.2
01/11/2004;4727.8;2702.8
01/12/2004;5286.1;3775.2
01/01/2005;4907.7;3062.4
01/02/2005;5039.6;3261.9
01/03/2005;5590;3502.1
01/04/2005;5221.6;3534.1
01/05/2005;5781.7;3643.7
01/06/2005;5377.4;3508.9
01/07/2005;5529.2;3463.2
01/08/2005;5477;3447.5
01/09/2005;5802.1;3113.5
01/10/2005;6131.8;3327.9
01/11/2005;5271.7;2829.8
01/12/2005;6298.6;3548.2
